"","DMU","YEAR","Researcher","Expenditure","Operation.expenses","SCI.paper","Non.SCI.paper","Patent.Application","Patent.Registration","Royalty.Fee","Technician","Administrator","Research.income","Research.Cost","weight.restriction"
"62","KIOM",2016,229,58419187,4963900,77,250,101,60,557527,7,43,52723991,42264981,18.40023102
"63","KIST",2016,637,322441713,15606446,856,324,722,455,5914121,102,109,263148604,219388471,195.1855116
"64","KISTI",2016,332,134401205,6044201,101,197,77,48,617190,98,54,132023492,115126568,20.36930693
"65","KIT",2016,189,49938691,5857652,86,21,17,18,124391,3,30,41823550,32875723,4.105313531
"66","KITECH",2016,1003,345995724,18444499,230,301,666,426,9992796,0,186,330275722,279625576,329.7952475
"67","KRIBB",2016,264,159877548,9692921,359,269,282,275,1214062,63,54,152880494,129521647,40.06805281
"68","KRICT",2016,523,160209000,10546000,194,138,395,240,5171940,15,58,141296381,119504337,170.6910891
"69","KRISS",2016,305,153839000,9383000,247,103,210,136,1162269,78,60,141279972,119334079,38.35871287
"70","KRRI",2016,351,150222000,8790000,36,265,228,240,1795098,8,40,112768615,100109526,59.24415842
"71","NFRI",2016,173,207316632,5331174,141,17,49,45,471768,112,49,197425266,193456476,15.56990099
"72","WIKIM",2016,71,16436904,1271306,11,31,20,22,23000,0,24,16297444,13800570,0.759075908
"73","ETRI",2017,2076,628164000,27313000,256,137,2900,1564,35243690,152,166,608989371,493377666,1163.158086
"74","GTC",2017,34,9025187,1213253,0,5,0,0,0,0,13,8940458,6849477,0
"75","KAERI",2017,1214,509887000,26115000,324,274,224,260,2881132,136,111,476023806,426936520,95.08686469
"76","KARI",2017,738,658856366,13170845,24,218,196,166,1468480,80,94,641872013,590949354,48.46468647
"77","KASI",2017,172,65788000,2890000,226,38,13,9,369000,12,45,63399976,56358633,12.17821782
"78","KBSI",2017,255,110010597,6586944,385,26,85,75,423780,73,48,101307872,83955066,13.98613861
"79","KERI",2017,381,134008000,9076000,94,2,200,53,3811975,103,62,126486644,101557657,125.8077558
"80","KFRI",2017,229,178628000,3006000,201,83,145,85,901552,36,39,52136181,45343713,29.75419142
"81","KICT",2017,557,170760000,8231000,28,480,265,159,2328211,20,39,163375599,142035010,76.83864686
"82","KIER",2017,402,187939847,8994278,185,197,358,263,3128397,116,70,158364185,131772253,103.2474257
"83","KIGAM",2017,375,137915050,7528394,151,207,171,200,1188306,93,75,131663701,114763707,39.2180198
"84","KIMM",2017,434,169170000,10370000,133,185,301,340,5895701,47,62,155919388,128668961,194.5775908
"85","KIMS",2017,273,94484000,5053000,192,130,166,71,2580215,45,42,87234986,73638750,85.15561056
"86","KIOM",2017,153,58304930,4941238,96,233,140,79,544065,6,41,55494002,44432055,17.95594059
"87","KIST",2017,669,342312215,16667160,908,312,800,661,7532251,82,125,299115468,249131178,248.5891419
"88","KISTI",2017,326,146358156,6085861,88,187,63,61,770281,101,55,131302434,114616629,25.42181518
"89","KIT",2017,178,54931267,7112852,106,10,34,7,236000,3,31,51284464,38956124,7.788778878
"90","KITECH",2017,1036,395823078,19344430,221,326,681,510,7881193,0,190,367923200,313908589,260.1053795
"91","KRIBB",2017,288,182535723,9884999,344,262,256,261,1343098,66,54,161544287,139222807,44.32666667
"92","KRICT",2017,518,159925000,11493000,325,27,461,312,3657090,12,63,149517970,126956613,120.6960396
"93","KRISS",2017,317,151169000,9466000,233,119,200,149,899222,79,60,143770624,121535200,29.67729373
"94","KRRI",2017,300,134008000,9076000,24,244,210,203,2345510,9,39,91506326,73766247,77.40957096
"95","NFRI",2017,188,156605070,4938065,114,29,47,54,530663,114,49,150141996,141206810,17.51363036
"96","WIKIM",2017,71,17259657,1544138,26,41,33,22,103092,0,22,17069024,14045048,3.402376238
"97","ETRI",2018,2058,598121000,29304000,263,130,2730,1307,33466246,142,168,566912800,454959711,1104.496568
"98","GTC",2018,41,8789651,1066743,0,12,0,0,0,0,14,8619131,6635177,0
"99","KAERI",2018,1158,460889000,27001000,305,257,241,207,1783161,137,112,443841514,391444875,58.85019802
"100","KARI",2018,732,690903580,13789242,18,230,198,160,1021393,101,94,669826965,624394013,33.70933993
"101","KASI",2018,174,65504000,2931000,269,29,12,13,16000,10,49,62799421,55733646,0.528052805
